title,user,timestamp,revid
2011 Nabro eruption,AstroHurricane001,1307962382,434035952
2011 Nabro eruption,24.235.72.106,1307962883,434036741
2011 Nabro eruption,Michael5046,1307964285,434039174
2011 Nabro eruption,99.153.177.155,1307983448,434081220
2011 Nabro eruption,71.251.60.108,1308018096,434165586
2011 Nabro eruption,65.94.47.63,1308038746,434197874
2011 Nabro eruption,EdwardLane,1308046793,434211782
2011 Nabro eruption,EdwardLane,1308046837,434211859
2011 Nabro eruption,86.112.54.66,1308064347,434247567
2011 Nabro eruption,Denisarona,1308064381,434247659
2011 Nabro eruption,70.101.120.177,1308079516,434284890
2011 Nabro eruption,70.101.120.177,1308079569,434285010
2011 Nabro eruption,70.101.120.177,1308079646,434285193
2011 Nabro eruption,Banana04131,1308108208,434347687
2011 Nabro eruption,Banana04131,1308108376,434347997
2011 Nabro eruption,Banana04131,1308108455,434348125
2011 Nabro eruption,TedderBot,1308152543,434426571
2011 Nabro eruption,Traveler100,1308242329,434610474
2011 Nabro eruption,EdwardLane,1308303815,434735994
2011 Nabro eruption,EdwardLane,1308378403,434891292
2011 Nabro eruption,EdwardLane,1308423912,434974847
2011 Nabro eruption,EdwardLane,1308511593,435141577
2011 Nabro eruption,EdwardLane,1308585269,435292028
2011 Nabro eruption,EdwardLane,1308585526,435292679
2011 Nabro eruption,ZéroBot,1308640099,435415478
2011 Nabro eruption,EdwardLane,1308734371,435606703
2011 Nabro eruption,EdwardLane,1308734845,435607365
2011 Nabro eruption,EdwardLane,1308735149,435607810
2011 Nabro eruption,EdwardLane,1308735940,435609137
2011 Nabro eruption,EdwardLane,1308744674,435625409
2011 Nabro eruption,EdwardLane,1308745441,435626899
2011 Nabro eruption,EdwardLane,1308745838,435627715
2011 Nabro eruption,EdwardLane,1308764072,435669751
2011 Nabro eruption,EdwardLane,1308764245,435670158
2011 Nabro eruption,Marcus Qwertyus,1308769967,435684530
2011 Nabro eruption,Marcus Qwertyus,1308770139,435684923
2011 Nabro eruption,Marcus Qwertyus,1308770266,435685252
2011 Nabro eruption,Lankiveil,1308781100,435714002
2011 Nabro eruption,Diego Grez,1308799095,435748128
2011 Nabro eruption,EdwardLane,1308812923,435771559
2011 Nabro eruption,EdwardLane,1308819423,435782010
2011 Nabro eruption,EdwardLane,1308821405,435785153
2011 Nabro eruption,Bender235,1308821707,435785650
2011 Nabro eruption,EdwardLane,1308829030,435797102
2011 Nabro eruption,EdwardLane,1308829196,435797410
2011 Nabro eruption,AstroHurricane001,1308841515,435822347
2011 Nabro eruption,AstroHurricane001,1308851121,435836634
2011 Nabro eruption,EdwardLane,1308857750,435855169
2011 Nabro eruption,BorgQueen,1308892840,435926170
2011 Nabro eruption,WolfmanSF,1308895113,435929599
2011 Nabro eruption,64.180.212.125,1308898932,435935219
2011 Nabro eruption,BorgQueen,1308899069,435935475
2011 Nabro eruption,L1A1 FAL,1308900072,435937050
2011 Nabro eruption,RoryReloaded,1308900578,435937817
2011 Nabro eruption,EdwardLane,1308913334,435958704
2011 Nabro eruption,EdwardLane,1308913640,435959207
2011 Nabro eruption,BorgQueen,1308914193,435960186
2011 Nabro eruption,RoryReloaded,1308914559,435960848
2011 Nabro eruption,Skizzik,1308915010,435961638
2011 Nabro eruption,EdwardLane,1308915322,435962166
2011 Nabro eruption,EdwardLane,1308915627,435962692
2011 Nabro eruption,EdwardLane,1308915704,435962839
2011 Nabro eruption,EdwardLane,1308915747,435962913
2011 Nabro eruption,Johnson487682,1308916011,435963368
2011 Nabro eruption,Johnson487682,1308916380,435963984
2011 Nabro eruption,Johnson487682,1308916485,435964189
2011 Nabro eruption,Johnson487682,1308916685,435964500
2011 Nabro eruption,Johnson487682,1308916756,435964629
2011 Nabro eruption,Johnson487682,1308916927,435964881
2011 Nabro eruption,Johnson487682,1308922267,435975000
2011 Nabro eruption,109.76.119.55,1308934944,436004449
2011 Nabro eruption,EdwardLane,1308937723,436011020
2011 Nabro eruption,EdwardLane,1308940517,436018276
2011 Nabro eruption,Ceranthor,1308942028,436022066
2011 Nabro eruption,Ceranthor,1308942171,436022379
2011 Nabro eruption,Ceranthor,1308942243,436022564
2011 Nabro eruption,Ceranthor,1308952498,436046684
2011 Nabro eruption,84.196.92.46,1308957529,436058518
2011 Nabro eruption,Jetstreamer,1308960030,436063719
2011 Nabro eruption,Ntsimp,1308966373,436074230
2011 Nabro eruption,Felix Folio Secundus,1308968199,436076868
2011 Nabro eruption,O'Dea,1308987479,436105358
2011 Nabro eruption,69.72.27.186,1308992926,436112787
2011 Nabro eruption,84.157.17.245,1308997937,436120301
2011 Nabro eruption,81.106.119.187,1309002855,436129738
2011 Nabro eruption,Greenshed,1309004220,436133021
2011 Nabro eruption,Greenshed,1309004340,436133351
2011 Nabro eruption,EdwardLane,1309016157,436161789
2011 Nabro eruption,EdwardLane,1309016239,436161989
2011 Nabro eruption,EdwardLane,1309016313,436162160
2011 Nabro eruption,Ceranthor,1309016551,436162711
2011 Nabro eruption,Ser Amantio di Nicolao,1309019759,436170501
2011 Nabro eruption,Ser Amantio di Nicolao,1309019771,436170525
2011 Nabro eruption,Ser Amantio di Nicolao,1309019798,436170613
2011 Nabro eruption,O'Dea,1309026448,436188026
2011 Nabro eruption,86.162.171.226,1309040761,436227189
2011 Nabro eruption,O'Dea,1309080483,436305853
2011 Nabro eruption,Black Yoshi,1309132301,436417957
2011 Nabro eruption,Ohconfucius,1309158716,436459991
2011 Nabro eruption,M.O.X,1309169495,436476278
2011 Nabro eruption,M.O.X,1309169691,436476597
2011 Nabro eruption,Mrfebruary,1309169964,436477036
2011 Nabro eruption,Michaelmas1957,1309172300,436481045
2011 Nabro eruption,Michaelmas1957,1309172330,436481099
2011 Nabro eruption,Angilbas,1309181030,436497647
2011 Nabro eruption,Angilbas,1309181136,436497874
2011 Nabro eruption,EdwardLane,1309250503,436641909
2011 Nabro eruption,EdwardLane,1309250615,436642070
2011 Nabro eruption,Bkell,1309270787,436678136
2011 Nabro eruption,Originalwana,1309286749,436717814
2011 Nabro eruption,Speciate,1309298785,436748921
2011 Nabro eruption,SmackBot,1309299252,436749988
2011 Nabro eruption,EdwardLane,1309335493,436813875
2011 Nabro eruption,EdwardLane,1309336106,436814870
2011 Nabro eruption,EdwardLane,1309343315,436826953
2011 Nabro eruption,Khazar,1309399282,436967463
2011 Nabro eruption,Johnson487682,1309442398,437053104
